,0,1,2,3,4,5,6,7,8,9,10,11
0,1810065E05Rik,Ahcyl2,Tgm3,Ckb,Nupr1,Cnn1,Lgals1,Cldn15,Adh1,Gm42418,Uchl1,Cd74
1,Cyp2c65,St3gal4,Spink1,Flna,Plet1,Actg2,Csrp1,Rpl4,B3gnt7,Car4,Tuba1a,Cd52
2,Akr1c19,Slc9a3,Fxyd4,Myl9,Ccl6,Tpm2,Acta2,Slc35a1,Reg4,mt-Nd2,Sncg,H2-Ab1
3,Fam162a,Krt20,Atp12a,Myh11,Adamdec1,Tpm1,Des,Retnlb,Gas5,Muc3,Stmn2,H2-Aa
4,Slc51a,Dpep1,Ggh,Selenom,Rnase4,Des,Tpm2,Gpx2,Sval1,Sprr2a3,Stmn3,Lyz2
5,Aldh1a1,Ezr,Slc37a2,Sparcl1,Car8,Myl9,Ccl21a,Kcne3,Cela1,Slc26a3,Prph,H2-Eb1
6,Mettl7b,Ceacam1,Slc20a1,Acta2,Gm1123,Myh11,Cnn1,Ccn3,Acsm3,Aqp8,Rtn1,Rac2
7,Tmigd1,Rfk,Ly6g,Actg2,Cd24a,Acta2,Flna,Nupr1,Kcne3,Spink1,Tubb3,Coro1a
8,Ugdh,Sdcbp2,Slc26a2,Des,Gcnt3,Mylk,Mustn1,Sec11c,Wfdc2,Ces2c,Tppp3,Arhgdib
9,Hmgcs2,Mep1a,Sval1,Rgs5,Cldn15,Sparcl1,Myl9,Hoxa11os,Rpl4,Pmp22,Ass1,Arhgap45
10,2610528A11Rik,Mep1b,Tmem45b,Mylk,Txndc5,Smtn,Gsn,Hspe1,Ttr,Ggh,Tubb2a,H2-DMb2
11,Slc10a2,Ces2e,Eif2s2,Csrp1,Cgref1,Cald1,Wfdc2,Sult1a1,Hexb,Actg2,Snap25,Tyrobp
12,Cyp4b1,Endod1,Pdzk1ip1,Tpm2,Cldn2,Lgals1,Actg2,Cd24a,Hoxb13,Selenop,Scg2,Lcp1
13,Apol10a,Slc26a3,Hoxb13,Cpe,Slc12a2,Csrp1,Myh11,Slc50a1,Gpx2,Mxd1,Bex2,Srgn
14,Mgat4c,Cdh17,Il18,Cnn1,Fxyd3,Flna,Ecm1,Ivns1abp,Snhg1,Des,Ptprn,Laptm5
15,Ces1g,Klf4,Tnni1,Cavin1,Aqp1,Pdlim3,Smtn,Slc12a2,Hspe1,Clca4a,Gng3,Mfge8
16,Sult1d1,Slc9a2,Slc26a3,Smtn,Tspan13,Pdlim7,Fxyd1,Gas5,St3gal6,Lars2,Resp18,Limd2
17,Sptssb,Pmp22,Smpdl3a,Dmpk,Sec11c,Ckb,Dcn,Ccl6,Nxpe2,Slc26a2,Nsg1,Lsp1
18,Slc51b,Clec2h,Ly6a,Pdlim3,Hmgcs2,Cryab,Ckb,Hmgb2,2410006H16Rik,Tpm2,Nsg2,Cd79a
19,Osr2,Mall,Unc119,Tpm1,5330417C22Rik,Rgs5,Flnc,Gm1123,AI854703,Cnn1,Ndn,Ighm
20,Maoa,Mgat4c,Abat,Pcp4l1,Sult1a1,Fxyd1,Cav1,Tspan13,Rnf186,Acta2,6330403K07Rik,H2-DMa
21,Slc35d1,Iqgap2,Plac8,Ckm,Spdef,Slc25a4,Sparcl1,5330417C22Rik,Gsn,Tgm3,Zwint,H2-Q7
22,Hpgd,Slc6a14,Anxa3,Mgp,B3gnt6,mt-Nd2,Tpm1,Stmn1,Gm5485,St3gal4,Ndrg4,Cd79b
23,Papss2,Fabp2,Slc6a8,Slc25a4,Rpl4,Fxyd6,Cela1,Creb3l1,Gm15401,Krt20,Nap1l5,Hvcn1
24,Glrx,Slc13a2,Eno3,Slc2a4,Slc35a1,Synm,Mgp,Clca3b,Stmn1,Myh11,Crip2,Cxcl13
25,Fabp2,Eps8l2,Slc40a1,Pcp4,Rap1gap,Tinagl1,2410006H16Rik,Gm49980,Hoxa11os,Myl9,Gap43,Ptprc
26,Hkdc1,Myo15b,Cyp2d34,Pbxip1,Creb3l1,Synpo2,Fn1,Cgref1,Cyp2c68,Cdhr5,Snrpn,Bst2
27,Prap1,Maoa,AA467197,Lgals1,Pde2a,Cpe,Ltbp4,Srsf2,Cttnbp2,Sycn,Calb2,Ly6d
28,Hsd3b3,Pls1,Klf4,Dpt,Ccn3,Mustn1,Tuba1b,Mki67,Clic6,Myo15b,Fxyd6,H2-Ob
29,Rfk,Nudt4,Mgat4a,Cald1,Slc12a8,Pln,Igfbp2,Tceal9,Sult1a1,Tpm1,Tubb5,Clu
30,Emp1,Myo5b,Slc15a1,Hmcn2,Tceal9,Lims2,Mylk,Ube2c,Gsdmc4,Atp12a,Scg5,Napsa
31,Fmo5,Ms4a8a,Ifngr1,Pdlim7,Osr2,Cd59a,Reg4,Txndc5,Thbs4,Fxyd4,Prnp,Iglc2
32,H2-Q2,Mxd1,Car4,Fxyd1,Sult1c2,Ckm,Fxyd4,Snhg1,Snrpd1,Rhoc,Pirt,Fcer1g
33,Higd1a,Acox1,Muc3,Tppp3,B4galnt1,Hspb1,Cald1,Cd177,Gsdmc3,Sval1,Slc25a4,Ptprcap
34,Clec2e,Sult1b1,Tm4sf20,Tgfb1i1,Gas5,Dmpk,Igfbp6,Tfrc,Cldn2,Cyp2d34,Zcchc12,Wdfy4
35,Isx,Higd1a,Gm5485,Marveld1,Pibf1,Popdc2,Prelp,Fam107b,Myb,AA467197,Scg3,Apoe
36,Reg3b,Sgk1,Ctss,Tns1,Slc50a1,Flnc,Ifitm2,Rnase4,Ltbp4,Ces2a,Ret,Ptpn6
37,Prom1,Cyp3a13,Hist1h1c,Mustn1,Dmbt1,Selenom,Pcp4l1,Snrpd1,9230105E05Rik,Ifit1bl1,Ache,Lyz1
38,Prkg2,Emp1,Gpr137b,Fam129a,Creb3l4,Tgfb1i1,Ifitm3,St3gal6,Cbr2,Gprc5a,S100a4,Ncf4
39,2210407C18Rik,Naip1,Sult1b1,Gsn,Fut2,Pcp4,Adh1,Spdef,Sec11c,Tmem45b,Pfn2,H2-DMb1
40,Sis,Cdhr2,Fhl1,Rarres2,Hepacam2,Tns1,Cavin1,B3gnt6,Nxpe4,Hist1h1c,Tm4sf4,Iglc3
41,Slc17a4,Chp1,Cyp2d12,Tubb6,Kcne3,Mgp,Cd81,Birc5,Pf4,Csrp1,Chrna3,Hcls1
42,Clec2h,Plac8,Clic5,Aoc3,Slc17a9,Rarres2,Lmod1,Hpd,Hmgb2,Flna,Cpe,C1qb
43,Cyp2c55,Cdhr5,Selenop,Atp2b4,Atoh1,Emilin1,Pdlim3,Hoxa7,Ctse,Klf4,Tuba1b,Il2rg
44,H2-T3,Muc3,Rhoc,Nbl1,Cbs,Atp2b4,Ifi27l2a,Cftr,B3gnt5,Lgals1,Prkar1b,Irf5
45,Ppfia3,Sfn,Sprr2a3,Lmod1,Hoxb6,Tuba1a,Lims2,B4galnt1,Cep63,Ly6g,Hoxb5,C3
46,Chp1,Sprr2a3,St3gal4,Tnxb,Fam107b,Gm42418,C3,Muc4,Gatm,Mylk,Vat1,Flt3l
47,Rnf186,Prom1,Mxd1,mt-Nd2,Hpd,Lmod1,Hspb1,Acsm3,Smpx,Slc37a2,Zcchc18,Unc93b1
48,Slc6a14,Lmo7,Upp1,Psd,Hmgb2,Chst12,Rarres2,St6galnac2,Cftr,Malat1,Rab3a,Ly86
49,Slc13a1,Cyp4f14,Bmp2,Timp2,Ceacam10,Serpinh1,Ttr,Pde2a,Ecm1,Mep1a,Syt11,Cd53
50,Abcb1a,Ifngr1,Rbp2,Lamb2,Cd44,Fn1,Emp3,Pdia5,Snhg15,Cdhr2,Fhod3,Itgax
51,Ugt2b5,Cdkn1a,Aqp8,Ifitm2,Mt3,Sycn,Lamb2,Plet1,Acpp,Sectm1b,Syngr3,Fxyd5
52,Ces2e,Fa2h,AW112010,Tgm2,Hspe1,Cd81,Tns1,Gm43305,Defb45,Slc20a1,Tac1,Cotl1
53,Prss30,Ang4,Slc36a1,Tuba1b,Kit,Hspb6,Insl5,Slc12a8,Eln,Ctss,Lgals1,Ltb
54,Cyp2d26,Abcg2,Tmem37,Ifitm3,Igfbp3,Tppp3,Hoxb13,Muc3a,Fabp6,Slc15a1,Rtl8a,C1qa
55,Sct,1810065E05Rik,Pmp22,Itm2c,2210407C18Rik,Psd,mt-Nd2,Fxyd3,Wfdc17,Ezr,Kif5a,C1qc
56,Acox1,Aqp4,Ezr,Ppp1r12b,Pdia5,Spon2,Serping1,Ang4,Gm49980,Fhl1,Fabp5,Gm2a
57,Defb37,AA467197,Btg1,Tuba1a,Muc3a,Emp3,Serpinh1,Cdk1,Hao2,Ly6m,Sult4a1,Ncf1
58,Ces1f,Cyp2d34,Cyp2c68,Cav1,Etv5,Optc,Igfbp4,Noxa1,Svep1,Tm4sf20,Itm2c,Icam1
59,Ms4a8a,Ppfia3,Ms4a8a,Hspg2,Snhg1,Malat1,Tuba1a,Top2a,Ccl6,Slc6a8,Tagln3,Cd37
60,Dpep1,Parp12,Adh1,Cnn2,Cxcl12,Fbln1,Cryab,Ccna2,Dcn,Eno3,Mllt11,Ighd
61,Mep1a,Ugdh,Cdkn1a,Dcn,Ces1g,Sncg,Pdlim7,Rasd1,Ewsr1,Ckb,Eno2,C4b
62,AW112010,Noct,Sectm1b,Tinagl1,Gm49980,Ptn,Synm,Mcm6,Cyp2f2,Rbp2,Fxyd7,Capg
