,GF,SPF
0,Scand1,Cyp2c55
1,Tmem259,Ces2a
2,Ppp1r14a,Iglc1
3,Rnaseh2c,Ang4
4,Cyp4f14,S100g
5,Apoe,Gsdmc4
6,Gm42418,Jchain
7,Spink1,Abcb1a
8,Pdzk1ip1,Retnlb
9,H2-Ab1,Gsdmc2
10,Snhg20,Aqp8
11,Ifit1bl1,Cldn4
12,Eva1b,Gpx2
13,Cck,Sycn
14,Rras,Clps
15,Hspb1,Wfdc2
16,Selenop,Ces1f
17,H2afx,S100a14
18,Cavin3,Ces2c
19,Gm43305,Iglc2
20,Fhl1,Gprc5a
21,H2-Eb1,Itln1
22,Pcsk1n,Gm5485
23,Cd74,Reg4
24,Cdkn2b,Cgref1
25,Sord,Sfn
26,Hpgd,Ifi27l2a
27,Mt1,Sptssb
28,AW112010,Txndc5
29,Mt2,Higd1a
30,Crlf2,Aqp4
31,Ctss,Slc30a10
32,H2-Aa,Selenom
33,Abhd17a,Ces2e
34,Mal,St3gal3
35,Mep1a,Nupr1
36,Bmp3,Slc17a9
37,Btg1,Cd81
38,Hopx,Fasn
39,2610528A11Rik,Iglc3
40,Nbl1,Dpep1
41,Upp1,Clca4a
42,Fbxl22,Defb37
43,Exosc3,Wfdc18
44,Spon2,Ccl6
45,Sdf2l1,Scd1
46,Zfp384,Maged1
47,Irf7,Ppy
48,Fbxl8,Sdcbp2
49,Gm1673,Cldn15
50,Cyp3a13,Fut2
51,Spi1,Ly6c2
52,Cmtm7,Gstk1
53,Cyp2d34,Ggt1
54,Hmcn2,Mzb1
55,Fabp6,Col1a2
56,BC029722,Angptl2
57,Igfbp7,1810065E05Rik
58,Psd,B3gnt7
59,Rfk,Gsta3
60,Nudt4,Slc9a3
61,Ace2,Tnni1
62,Ivns1abp,Fkbp11
63,Lsm2,Tns4
64,Rgcc,Eno3
65,Ighg1,Sparc
66,Gcnt1,Cd24a
67,Glrx,Muc4
68,Bmp2,Me1
69,Apob,Pde2a
70,Ptprcap,Nxpe2
71,Slc35f5,Ly6m
72,Parp14,Ces1g
73,Smim38,Il18
74,Ltb,Ighm
75,Dut,Sst
76,Leng9,Fn1
77,Tmem45b,Tceal9
78,Nrtn,Gsdmc3
79,Ifngr1,Ces1d
80,Zfp219,Postn
81,Coro1a,Fa2h
82,Cyp2d26,Hif1a
83,Gcg,Mettl7b
84,Prss23,Cpn1
85,Sult1b1,Mgp
86,Limd2,Capg
87,Neu1,Hmgcs2
88,Plch2,Spdef
89,Lama3,St3gal6
90,Ccl5,Mgat4c
91,Tgfbi,Sprr1a
92,Mep1b,Hao2
93,Gm42031,Aacs
94,Ikbkb,Col6a1
95,Slc6a8,Col8a1
96,Cdhr5,Col3a1
97,Sod3,Chga
98,Hexb,Ifitm2
99,Oasl2,Prap1
100,Plac8,Ccn3
101,Smpdl3a,Prnp
102,Ccng2,Ugdh
103,AA467197,Slc1a4
104,Noct,Vstm5
105,Tap1,Gpd1
106,Isg15,Sprr2a3
107,H2-Q7,Slc26a2
108,Unc119,Hsd3b3
109,Slc10a2,Pf4
110,Ppp1r1a,Neat1
111,Igsf9,AC149090.1
112,Gbp2,Prom1
113,Car4,Bgn
114,Ptprr,Cela1
115,H2-DMa,Meg3
